full_address,name,zip_code,ave_rating,ave_review_count,num,NAME
"139 Centre St, New York, NY 10013,",Dunkin',11209,1,18,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11223,2.5,9,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11234,2.5,27,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11235,3,10,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11369,2,7,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11372,3,12,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11377,2.5,29,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11423,2,15,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11430,2,5,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11432,2.5,16,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11435,2,27,1,DD
"140 Delancey St, New York, NY 10002,",Dunkin',10002,2,31,1,DD
"1410 Avenue J, Brooklyn, NY 11230,",Dunkin',11230,2.5,29,1,DD
"1443 Myrtle Ave, Brooklyn, NY 11237,",Dunkin',11237,2,16,1,DD
"1445 Richmond Ave, Staten Island, NY 10314,",Dunkin',10314,3.5,8,1,DD
"146-17 Jamaica Ave, Jamaica, NY 11435,",Dunkin',11435,2.5,20,1,DD
"14625 Northern Blvd, Flushing, NY 11354,",Dunkin',11354,3.5,25,1,DD
"14636 45th Ave, Flushing, NY 11355,",Dunkin',11355,3,13,1,DD
"1467 Nostrand Ave, Brooklyn, NY 11226,",Dunkin',11226,1.5,9,1,DD
"147 E 116th Street, New York, NY 10029,",Dunkin',10029,2.5,16,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10075,2,7,1,DD
"150-B Greaves Lane, Staten Island, NY 10308,",Dunkin',10308,3,4,1,DD
"1506 Cortelyou Rd, Brooklyn, NY 11226,",Dunkin',11226,2,18,1,DD
"153 West 36th St, New York, NY 10018,",Dunkin',11756,2.5,13,1,DD
"15367 Horace Harding Expy, Flushing, NY 11367,",Dunkin',11367,3,62,1,DD
"1575 Flatbush Ave, Brooklyn, NY 11210,",Dunkin',11210,2.5,18,1,DD
"1592 Westchester Ave, Bronx, NY 10472,",Dunkin',10472,4.5,2,1,DD
"1599 St Nicholas Ave, New York, NY 10040,",Dunkin',10040,3,12,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10472,2,9,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11040,4,16,1,DD
"165 7th St, Garden City, NY 11530,",Dunkin',11530,3,18,1,DD
"1650 Bruckner Blvd, Bronx, NY 10473,",Dunkin',10473,3,7,1,DD
"1650 Richmond Ave, Staten Island, NY 10314,",Dunkin',10314,3,17,1,DD
"168 W 48th St, New York, NY 10036,",Dunkin',10036,2.5,14,1,DD
"1700 Church Ave, Brooklyn, NY 11226,",Dunkin',11226,1.5,11,1,DD
"172 Water Street, New York, NY 10038,",Dunkin',10038,5,1,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10002,2,24,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10004,2.5,19,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10014,2.5,25,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10016,2.5,19,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10018,2.5,7,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10027,2,1,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10028,2,22,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10029,2.5,3,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10032,4,10,1,DD
