"CAMIS","DBA","ZIPCODE","CUISINE DESCRIPTION","reinspections","checks","violations","score","inspections","average_grade","BORO","BUILDING","STREET","SCORE","GRADE","GRADE DATE","GRADENUM","NAME","ADDRESS","lon","lat"
40400204,"STARBUCKS",10016,"Caf̩/Coffee/Tea",2,11,11,204,5,3,"MANHATTAN","585","2 AVENUE",13,"A","08/06/2018",3,"STARBUCKS","585 2 AVENUE MANHATTAN",-73.9768529,40.7438174
40400483,"STARBUCKS",10024,"Caf̩/Coffee/Tea",0,8,8,66,3,3,"MANHATTAN","2252","BROADWAY",6,"A","08/03/2018",3,"STARBUCKS","2252 BROADWAY MANHATTAN",-73.9787967,40.7849277
40400739,"STARBUCKS",,"Caf̩/Coffee/Tea",1,10,10,103,5,3,"MANHATTAN","1325","ASTOR PLACE",7,"A","12/10/2018",3,"STARBUCKS","1325 ASTOR PLACE MANHATTAN",-73.9917721,40.730131
40510811,"DUNKIN' DONUTS/SUBWAY",11215,"Donuts",3,14,13,167,6,2.7,"BROOKLYN","552","3 AVENUE",7,"A","08/07/2018",3,"DUNKIN DONUTS","552 3 AVENUE BROOKLYN",-73.9940906,40.6684366
40512204,"STARBUCKS COFFEE",10038,"Caf̩/Coffee/Tea",2,8,8,76,5,3,"MANHATTAN","38","PARK ROW",4,"A","02/08/2019",3,"STARBUCKS","38 PARK ROW MANHATTAN",-74.0065253,40.7116959
40515702,"STARBUCKS",10012,"Caf̩/Coffee/Tea",1,8,8,87,4,3,"MANHATTAN","78","SPRING STREET",3,"A","03/15/2019",3,"STARBUCKS","78 SPRING STREET MANHATTAN",-73.9977705,40.7224755
40518828,"STARBUCKS",10017,"Caf̩/Coffee/Tea",0,6,6,40,3,3,"MANHATTAN","330","MADISON AVENUE",7,"A","01/10/2019",3,"STARBUCKS","330 MADISON AVENUE MANHATTAN",-73.979139,40.753239
40520604,"STARBUCKS",11375,"Caf̩/Coffee/Tea",0,7,7,176,3,3,"QUEENS","7000","AUSTIN STREET",2,"A","04/03/2018",3,"STARBUCKS","7000 AUSTIN STREET QUEENS",-73.8473538,40.7208767
40523972,"STARBUCKS",10004,"Caf̩/Coffee/Tea",0,10,10,75,4,3,"MANHATTAN","24","STATE STREET",10,"A","04/30/2018",3,"STARBUCKS","24 STATE STREET MANHATTAN",-74.0139189,40.7033811
40524833,"STARBUCKS",10028,"Caf̩/Coffee/Tea",3,13,13,176,5,3,"MANHATTAN","1280","LEXINGTON AVENUE",13,"A","02/27/2019",3,"STARBUCKS","1280 LEXINGTON AVENUE MANHATTAN",-73.9555461,40.7799747
40524836,"STARBUCKS #847",10011,"Caf̩/Coffee/Tea",3,8,8,111,5,3,"MANHATTAN","378","6 AVENUE",3,"A","11/21/2018",3,"STARBUCKS","378 6 AVENUE MANHATTAN",-73.9996755,40.7329565
40525609,"STARBUCKS",10019,"Caf̩/Coffee/Tea",0,3,3,18,3,3,"MANHATTAN","322","WEST   57 STREET",5,"A","05/29/2018",3,"STARBUCKS","322 WEST   57 STREET MANHATTAN",-73.98419,40.7667888
40532870,"STARBUCKS",10011,"Caf̩/Coffee/Tea",0,8,8,88,4,3,"MANHATTAN","124","8 AVENUE",13,"A","09/12/2018",3,"STARBUCKS","124 8 AVENUE MANHATTAN",-74.0012761,40.7411257
40538234,"DUNKIN' DONUTS, BASKIN ROBBINS",11368,"Donuts",2,12,12,90,5,3,"QUEENS","9925","HORACE HARDING EXPRESSWAY",7,"A","07/18/2018",3,"DUNKIN DONUTS","9925 HORACE HARDING EXPRESSWAY QUEENS",-73.8577098,40.7365339
40545938,"STARBUCKS",10036,"Caf̩/Coffee/Tea",0,7,7,69,3,3,"MANHATTAN","1100","AVENUE OF THE AMERICAS",5,"A","02/13/2019",3,"STARBUCKS","1100 AVENUE OF THE AMERICAS MANHATTAN",-73.9837669,40.7549431
40546256,"STARBUCKS",10036,"Caf̩/Coffee/Tea",0,5,5,22,3,3,"MANHATTAN","255","WEST   43 STREET",2,"A","02/11/2019",3,"STARBUCKS","255 WEST   43 STREET MANHATTAN",-73.9885844,40.7578459
40546257,"STARBUCKS",10014,"Caf̩/Coffee/Tea",0,5,5,43,3,3,"MANHATTAN","93","GREENWICH AVENUE",10,"A","03/08/2019",3,"STARBUCKS","93 GREENWICH AVENUE MANHATTAN",-74.0017612,40.7373711
40549610,"STARBUCKS",10010,"Caf̩/Coffee/Tea",0,5,5,33,3,3,"MANHATTAN","304","PARK AVENUE SOUTH",3,"A","03/08/2019",3,"STARBUCKS","304 PARK AVENUE SOUTH MANHATTAN",-73.9869664,40.7401583
40551807,"DUNKIN' DONUTS, BASKIN ROBBINS",11106,"Donuts",0,6,6,59,3,3,"QUEENS","3602","31 STREET",2,"A","04/17/2019",3,"DUNKIN DONUTS","3602 31 STREET QUEENS",-73.9327354,40.7529064
40560440,"STARBUCKS",10010,"Caf̩/Coffee/Tea",7,18,18,505,7,3,"MANHATTAN","684","6 AVENUE",2,"A","03/01/2018",3,"STARBUCKS","684 6 AVENUE MANHATTAN",-73.9931724,40.7418154
40566617,"STARBUCKS",10019,"Caf̩/Coffee/Tea",0,5,5,43,3,3,"MANHATTAN","750","7 AVENUE",5,"A","01/11/2019",3,"STARBUCKS","750 7 AVENUE MANHATTAN",-73.9838272,40.760797
40566621,"STARBUCKS",10306,"Caf̩/Coffee/Tea",0,4,4,22,3,3,"STATEN ISLAND","2530","HYLAN BOULEVARD",3,"A","04/04/2019",3,"STARBUCKS","2530 HYLAN BOULEVARD STATEN ISLAND",-74.1095894,40.5696961
40567856,"STARBUCKS",11365,"Caf̩/Coffee/Tea",1,10,10,118,5,3,"QUEENS","6151","188 STREET",11,"A","08/31/2018",3,"STARBUCKS","6151 188 STREET QUEENS",-73.7855257,40.7394038
40570278,"STARBUCKS",10001,"Caf̩/Coffee/Tea",2,10,10,112,5,3,"MANHATTAN","370","7 AVENUE",10,"A","02/20/2019",3,"STARBUCKS","370 7 AVENUE MANHATTAN",-73.9925985,40.7487787
40570775,"STARBUCKS",10023,"Caf̩/Coffee/Tea",2,16,16,328,6,3,"MANHATTAN","48","WEST   73 STREET",12,"A","10/04/2018",3,"STARBUCKS","48 WEST   73 STREET MANHATTAN",-73.9781998,40.7778054
40578732,"STARBUCKS",10010,"Caf̩/Coffee/Tea",0,6,6,48,3,3,"MANHATTAN","296","3 AVENUE",10,"A","02/26/2019",3,"STARBUCKS","296 3 AVENUE MANHATTAN",-73.9835312,40.7387868
40581379,"STARBUCKS",11375,"Caf̩/Coffee/Tea",2,10,10,65,5,3,"QUEENS","10712","CONTINENTAL AVENUE",8,"A","06/11/2018",3,"STARBUCKS","10712 CONTINENTAL AVENUE QUEENS",-73.844456,40.720414
40581382,"STARBUCKS",10023,"Caf̩/Coffee/Tea",0,3,3,11,3,3,"MANHATTAN","2045","BROADWAY",5,"A","02/19/2019",3,"STARBUCKS","2045 BROADWAY MANHATTAN",-73.9826506,40.777749
40581387,"STARBUCKS COFFEE #7358",11201,"Caf̩/Coffee/Tea",2,10,10,133,5,3,"BROOKLYN","50","COURT STREET",9,"A","04/01/2019",3,"STARBUCKS","50 COURT STREET BROOKLYN",-73.9913997,40.6924381
40587273,"DUNKIN' DONUTS",11104,"Donuts",3,12,10,110,7,2.66666666666667,"QUEENS","4513","QUEENS BOULEVARD",3,"A","02/05/2019",3,"DUNKIN DONUTS","4513 QUEENS BOULEVARD QUEENS",-73.9189469,40.7435467
40587698,"STARBUCKS",10024,"Caf̩/Coffee/Tea",0,5,5,31,3,3,"MANHATTAN","540","COLUMBUS AVENUE",3,"A","01/04/2019",3,"STARBUCKS","540 COLUMBUS AVENUE MANHATTAN",-73.972244,40.786704
40587714,"STARBUCKS COFFEE",10017,"Caf̩/Coffee/Tea",1,10,10,100,5,3,"MANHATTAN","757","3 AVENUE",11,"A","10/31/2018",3,"STARBUCKS","757 3 AVENUE MANHATTAN",-73.971662,40.7539115
40587720,"STARBUCKS (#07353)",10119,"Caf̩/Coffee/Tea",1,12,12,165,6,3,"MANHATTAN","1","PENN PLAZA",2,"A","11/02/2018",3,"STARBUCKS","1 PENN PLAZA MANHATTAN",-73.9922255,40.7512148
40591262,"STARBUCKS",10023,"Caf̩/Coffee/Tea",5,15,15,226,6,3,"MANHATTAN","1841","BROADWAY",10,"A","06/04/2018",3,"STARBUCKS","1841 BROADWAY MANHATTAN",-73.9825565,40.7692129
40591269,"STARBUCKS",10007,"Caf̩/Coffee/Tea",0,8,8,70,3,3,"MANHATTAN","195","BROADWAY",12,"A","01/09/2019",3,"STARBUCKS","195 BROADWAY MANHATTAN",-74.009543,40.7105352
40594824,"DUNKIN' DONUTS",11385,"Donuts",4,15,15,148,7,3,"QUEENS","6040","MYRTLE AVENUE",7,"A","04/03/2019",3,"DUNKIN DONUTS","6040 MYRTLE AVENUE QUEENS",-73.8966899,40.7004797
40601541,"STARBUCKS",10025,"Caf̩/Coffee/Tea",3,16,16,225,5,3,"MANHATTAN","2853","BROADWAY",12,"A","11/20/2018",3,"STARBUCKS","2853 BROADWAY MANHATTAN",-73.9667501,40.8047524
40601687,"DUNKIN' DONUTS, BASKIN ROBBINS",11106,"Donuts",0,3,3,11,3,3,"QUEENS","3328","21 STREET",2,"A","05/25/2018",3,"DUNKIN DONUTS","3328 21 STREET QUEENS",-73.9327341,40.7641522
40602855,"STARBUCKS",10018,"Caf̩/Coffee/Tea",0,6,6,60,3,3,"MANHATTAN","462","7 AVENUE",7,"A","02/07/2019",3,"STARBUCKS","462 7 AVENUE MANHATTAN",-73.9903991,40.752023
40602866,"STARBUCKS",10024,"Caf̩/Coffee/Tea",0,4,4,15,3,3,"MANHATTAN","444","COLUMBUS AVENUE",5,"A","05/31/2018",3,"STARBUCKS","444 COLUMBUS AVENUE MANHATTAN",-73.9745065,40.7835555
40602872,"STARBUCKS",10314,"Caf̩/Coffee/Tea",0,6,6,52,3,3,"STATEN ISLAND","2505","RICHMOND AVENUE",11,"A","07/30/2018",3,"STARBUCKS","2505 RICHMOND AVENUE STATEN ISLAND",-74.1673925,40.5864858
40602878,"STARBUCKS",10003,"Caf̩/Coffee/Tea",0,8,8,64,3,3,"MANHATTAN","10","UNION SQUARE EAST",9,"A","04/25/2018",3,"STARBUCKS","10 UNION SQUARE EAST MANHATTAN",-73.9896609,40.7348727
40605770,"DUNKIN' DONUTS",11103,"American",1,9,9,53,5,3,"QUEENS","3045","STEINWAY STREET",5,"A","06/11/2018",3,"DUNKIN DONUTS","3045 STEINWAY STREET QUEENS",-73.9157178,40.7626028
40612118,"STARBUCKS",10019,"Caf̩/Coffee/Tea",0,6,6,31,3,3,"MANHATTAN","825","8 AVENUE",7,"A","07/23/2018",3,"STARBUCKS","825 8 AVENUE MANHATTAN",-73.9869111,40.7621024
40612120,"STARBUCKS",11361,"Caf̩/Coffee/Tea",2,13,13,148,5,3,"QUEENS","21529","NORTHERN BOULEVARD",11,"A","02/26/2019",3,"STARBUCKS","21529 NORTHERN BOULEVARD QUEENS",-73.7665169,40.7608912
40634433,"DUNKIN' DONUTS",11362,"Donuts",2,9,9,99,5,3,"QUEENS","24809","NORTHERN BOULEVARD",13,"A","07/12/2018",3,"DUNKIN DONUTS","24809 NORTHERN BOULEVARD QUEENS",-73.7391023,40.7674495
40645260,"DUNKIN' DONUTS",11372,"Donuts",0,8,8,92,3,3,"QUEENS","8922","ROOSEVELT AVENUE",10,"A","07/19/2018",3,"DUNKIN DONUTS","8922 ROOSEVELT AVENUE QUEENS",-73.8770734,40.7482085
40652016,"NYU - HALL CAFE/BURGER STUDIO & DUNKIN DONUTS",10003,"American",0,5,5,47,3,3,"MANHATTAN","110","EAST   14 STREET",7,"A","11/19/2018",3,"DUNKIN DONUTS","110 EAST   14 STREET MANHATTAN",-73.9891322,40.7336754
40653417,"STARBUCKS",10016,"Caf̩/Coffee/Tea",0,7,7,69,3,3,"MANHATTAN","261","5 AVENUE",8,"A","07/16/2018",3,"STARBUCKS","261 5 AVENUE MANHATTAN",-73.9866987,40.7450022
40654198,"DUNKIN' DONUTS",10469,"Donuts",0,9,9,122,3,3,"BRONX","1780","EAST GUNHILL ROAD",12,"A","02/24/2018",3,"DUNKIN DONUTS","1780 EAST GUNHILL ROAD BRONX",-73.8338828,40.8631567
40664744,"STARBUCKS",10016,"American",0,9,9,73,3,3,"MANHATTAN","424","PARK AVENUE SOUTH",10,"A","10/25/2018",3,"STARBUCKS","424 PARK AVENUE SOUTH MANHATTAN",-73.9837293,40.7442055
40685819,"DUNKIN' DONUTS",10312,"Donuts",4,12,12,194,6,2.57142857142857,"STATEN ISLAND","1769","ARTHUR KILL ROAD",5,"A","01/07/2019",3,"DUNKIN DONUTS","1769 ARTHUR KILL ROAD STATEN ISLAND",-74.197582,40.5592834
40692209,"DUNKIN' DONUTS",11375,"Donuts",0,4,4,24,3,3,"QUEENS","7167","YELLOWSTONE BOULEVARD",3,"A","12/24/2018",3,"DUNKIN DONUTS","7167 YELLOWSTONE BOULEVARD QUEENS",-73.8549317,40.7208431
40694203,"DUNKIN' DONUTS",11414,"Donuts",9,28,26,537,9,2.35714285714286,"QUEENS","16302","CROSS BAY BOULEVARD",22,"B","02/26/2019",2,"DUNKIN DONUTS","16302 CROSS BAY BOULEVARD QUEENS",-73.8386855,40.6521754
40697311,"STARBUCKS",10001,"Caf̩/Coffee/Tea",0,3,3,9,3,3,"MANHATTAN","494","8 AVENUE",2,"A","03/29/2019",3,"STARBUCKS","494 8 AVENUE MANHATTAN",-73.9928136,40.7525974
40697315,"STARBUCKS",10001,"Caf̩/Coffee/Tea",0,7,7,36,3,3,"MANHATTAN","205","WEST   34 STREET",5,"A","07/12/2018",3,"STARBUCKS","205 WEST   34 STREET MANHATTAN",-73.9907584,40.7515181
40697317,"STARBUCKS",11215,"Caf̩/Coffee/Tea",0,8,8,83,3,3,"BROOKLYN","166","7 AVENUE",7,"A","12/04/2018",3,"STARBUCKS","166 7 AVENUE BROOKLYN",-73.9776496,40.67207
40697323,"STARBUCKS",10025,"Caf̩/Coffee/Tea",0,6,6,52,3,3,"MANHATTAN","2498","BROADWAY",13,"A","05/14/2018",3,"STARBUCKS","2498 BROADWAY MANHATTAN",-73.9730028,40.7924531
40703791,"STARBUCKS",10111,"Caf̩/Coffee/Tea",5,21,20,332,9,3,"MANHATTAN","30","ROCKEFELLER CENTER PLAZA",12,"A","10/26/2018",3,"STARBUCKS","30 ROCKEFELLER CENTER PLAZA MANHATTAN",-73.979398,40.758823
40703795,"STARBUCKS",10019,"Caf̩/Coffee/Tea",0,6,6,51,3,3,"MANHATTAN","2","COLUMBUS AVENUE",12,"A","07/24/2018",3,"STARBUCKS","2 COLUMBUS AVENUE MANHATTAN",-73.9850058,40.7695445
40703801,"STARBUCKS",10018,"Caf̩/Coffee/Tea",0,5,5,44,3,3,"MANHATTAN","600","8 AVENUE",2,"A","03/05/2019",3,"STARBUCKS","600 8 AVENUE MANHATTAN",-73.990915,40.7553559
40703837,"STARBUCKS",10013,"Caf̩/Coffee/Tea",5,18,18,236,6,3,"MANHATTAN","95","WEST BROADWAY",9,"A","02/06/2019",3,"STARBUCKS","95 WEST BROADWAY MANHATTAN",-74.008909,40.715475
40715360,"STARBUCKS",10038,"Caf̩/Coffee/Tea",0,8,8,79,4,3,"MANHATTAN","100","WILLIAM STREET",12,"A","10/19/2018",3,"STARBUCKS","100 WILLIAM STREET MANHATTAN",-74.0072011,40.7083827
40715362,"STARBUCKS",10019,"Caf̩/Coffee/Tea",0,6,6,60,3,3,"MANHATTAN","871","8 AVENUE",12,"A","08/02/2018",3,"STARBUCKS","871 8 AVENUE MANHATTAN",-73.985334,40.7637343
40715364,"STARBUCKS",10012,"Caf̩/Coffee/Tea",0,7,7,62,3,3,"MANHATTAN","665","BROADWAY",3,"A","03/28/2019",3,"STARBUCKS","665 BROADWAY MANHATTAN",-73.9954157,40.727334
40715365,"STARBUCKS",11414,"Caf̩/Coffee/Tea",0,8,8,88,3,3,"QUEENS","15741","CROSS BAY BOULEVARD",13,"A","08/27/2018",3,"STARBUCKS","15741 CROSS BAY BOULEVARD QUEENS",-73.8400914,40.6614461
40722659,"STARBUCKS",10017,"Caf̩/Coffee/Tea",1,9,9,98,5,3,"MANHATTAN","150","EAST   42 STREET",12,"A","08/07/2018",3,"STARBUCKS","150 EAST   42 STREET MANHATTAN",-73.9753895,40.7506936
40726194,"STARBUCKS",10018,"Caf̩/Coffee/Tea",1,8,8,78,5,3,"MANHATTAN","525","7 AVENUE",4,"A","02/08/2019",3,"STARBUCKS","525 7 AVENUE MANHATTAN",-73.9882262,40.7535579
40733080,"DUNKIN' DONUTS, BASKIN ROBBINS",11237,"Donuts",6,18,18,351,6,3,"BROOKLYN","137","WYCKOFF AVENUE",12,"A","03/15/2019",3,"DUNKIN DONUTS","137 WYCKOFF AVENUE BROOKLYN",-73.9184612,40.7040869
40736135,"STARBUCKS",10016,"Caf̩/Coffee/Tea",0,3,3,11,3,3,"MANHATTAN","200","MADISON AVENUE",2,"A","05/04/2018",3,"STARBUCKS","200 MADISON AVENUE MANHATTAN",-73.9825933,40.749138
40736137,"STARBUCKS",10025,"Caf̩/Coffee/Tea",0,5,5,41,3,3,"MANHATTAN","2929","BROADWAY",3,"A","06/01/2018",3,"STARBUCKS","2929 BROADWAY MANHATTAN",-73.9649148,40.8071034
40736140,"STARBUCKS",10022,"Caf̩/Coffee/Tea",0,7,7,74,3,3,"MANHATTAN","125 - 135","EAST  57 STREET",12,"A","11/16/2018",3,"STARBUCKS","125 - 135 EAST  57 STREET MANHATTAN",-73.9696821,40.7613395
40737930,"STARBUCKS",10022,"Caf̩/Coffee/Tea",0,7,7,64,3,3,"MANHATTAN","55","EAST   53 STREET",10,"A","07/27/2018",3,"STARBUCKS","55 EAST   53 STREET MANHATTAN",-73.9732839,40.7593744
40737932,"STARBUCKS",10119,"Caf̩/Coffee/Tea",0,5,5,20,3,3,"MANHATTAN","1290","AVENUE OF THE AMERICAS",4,"A","02/28/2019",3,"STARBUCKS","1290 AVENUE OF THE AMERICAS MANHATTAN",-73.9788795,40.7604692
40737933,"STARBUCKS",11355,"Caf̩/Coffee/Tea",5,24,23,401,8,3,"QUEENS","4102","MAIN STREET",12,"A","09/13/2018",3,"STARBUCKS","4102 MAIN STREET QUEENS",-73.8297427,40.7579693
40737935,"STARBUCKS",10105,"Caf̩/Coffee/Tea",0,4,4,25,3,3,"MANHATTAN","1345","AVENUE OF THE AMERICAS",3,"A","10/02/2018",3,"STARBUCKS","1345 AVENUE OF THE AMERICAS MANHATTAN",-73.9790586,40.7631087
40737939,"STARBUCKS",10017,"Caf̩/Coffee/Tea",0,5,5,35,3,3,"MANHATTAN","450","LEXINGTON AVENUE",10,"A","03/07/2019",3,"STARBUCKS","450 LEXINGTON AVENUE MANHATTAN",-73.9754271,40.7532886
40739444,"DUNKIN' DONUTS",11385,"Donuts",3,10,10,88,5,3,"QUEENS","5602","METROPOLITAN AVENUE",7,"A","03/05/2019",3,"DUNKIN DONUTS","5602 METROPOLITAN AVENUE QUEENS",-73.9068409,40.7127018
40739446,"DUNKIN' DONUTS",11375,"Donuts",0,6,6,56,3,3,"QUEENS","9712","METROPOLITAN AVE",10,"A","02/07/2019",3,"DUNKIN DONUTS","9712 METROPOLITAN AVE QUEENS",-73.8552189,40.710992
40748086,"STARBUCKS",10014,"Caf̩/Coffee/Tea",0,7,7,77,3,3,"MANHATTAN","72","GROVE STREET",2,"A","04/18/2018",3,"STARBUCKS","72 GROVE STREET MANHATTAN",-74.0027331,40.7331816
40754552,"STARBUCKS",10006,"Caf̩/Coffee/Tea",0,4,4,31,3,3,"MANHATTAN","165","BROADWAY",2,"A","04/27/2018",3,"STARBUCKS","165 BROADWAY MANHATTAN",-74.0105084,40.7096195
40782091,"STARBUCKS",11103,"Caf̩/Coffee/Tea",1,10,10,102,5,3,"QUEENS","3144","STEINWAY STREET",3,"A","02/27/2019",3,"STARBUCKS","3144 STEINWAY STREET QUEENS",-73.9181397,40.7602823
40782092,"STARBUCKS",10007,"Caf̩/Coffee/Tea",0,4,4,23,3,3,"MANHATTAN","291","BROADWAY",2,"A","02/22/2019",3,"STARBUCKS","291 BROADWAY MANHATTAN",-74.006079,40.7149226
40787990,"STARBUCKS",10027,"Caf̩/Coffee/Tea",3,14,14,171,5,3,"MANHATTAN","77","WEST  125 STREET",13,"A","11/14/2018",3,"STARBUCKS","77 WEST  125 STREET MANHATTAN",-73.9447557,40.8076307
40788471,"STARBUCKS",,"Caf̩/Coffee/Tea",3,12,12,115,5,3,"MANHATTAN","30","ROCKFEELLER PLAZA",7,"A","03/08/2019",3,"STARBUCKS","30 ROCKFEELLER PLAZA MANHATTAN",-73.9799726,40.7593755
40788884,"STARBUCKS",10011,"Caf̩/Coffee/Tea",0,4,4,21,3,3,"MANHATTAN","177","8 AVENUE",7,"A","02/05/2019",3,"STARBUCKS","177 8 AVENUE MANHATTAN",-74.0004002,40.743034
40788886,"STARBUCKS",10010,"Caf̩/Coffee/Tea",0,5,5,31,3,3,"MANHATTAN","750","6 AVENUE",3,"A","05/15/2018",3,"STARBUCKS","750 6 AVENUE MANHATTAN",-73.9918116,40.7437269
40788891,"STARBUCKS",10128,"Caf̩/Coffee/Tea",0,5,5,37,3,3,"MANHATTAN","1378","MADISON AVENUE",6,"A","05/24/2018",3,"STARBUCKS","1378 MADISON AVENUE MANHATTAN",-73.9546724,40.7872221
40790306,"STARBUCKS",11356,"Caf̩/Coffee/Tea",0,6,6,62,3,3,"QUEENS","13811","20 AVENUE",11,"A","03/18/2019",3,"STARBUCKS","13811 20 AVENUE QUEENS",-73.8299402,40.7820035
40790307,"STARBUCKS",10017,"Caf̩/Coffee/Tea",0,6,6,45,3,3,"MANHATTAN","685","3 AVENUE",5,"A","07/24/2018",3,"STARBUCKS","685 3 AVENUE MANHATTAN",-73.9735965,40.751491
40799123,"STARBUCKS",10169,"Caf̩/Coffee/Tea",5,20,20,308,8,3,"MANHATTAN","230","PARK AVENUE",12,"A","04/17/2019",3,"STARBUCKS","230 PARK AVENUE MANHATTAN",-73.97598,40.75447
40814124,"STARBUCKS",10017,"Caf̩/Coffee/Tea",0,7,7,72,3,3,"MANHATTAN","360","LEXINGTON AVENUE",10,"A","03/14/2019",3,"STARBUCKS","360 LEXINGTON AVENUE MANHATTAN",-73.9770422,40.7503897
40814134,"STARBUCKS",10017,"Caf̩/Coffee/Tea",0,4,4,29,3,3,"MANHATTAN","511","LEXINGTON AVENUE",12,"A","11/19/2018",3,"STARBUCKS","511 LEXINGTON AVENUE MANHATTAN",-73.9732026,40.7549224
40814139,"STARBUCKS",10065,"Caf̩/Coffee/Tea",0,7,7,58,4,3,"MANHATTAN","1102","1 AVENUE",12,"A","07/19/2018",3,"STARBUCKS","1102 1 AVENUE MANHATTAN",-73.960646,40.7604394
40814142,"STARBUCKS",10013,"Caf̩/Coffee/Tea",3,13,13,254,4,3,"MANHATTAN","150","VARICK STREET",11,"A","01/23/2019",3,"STARBUCKS","150 VARICK STREET MANHATTAN",-74.005366,40.7261346
40816235,"DUNKIN' DONUTS, BASKIN ROBBINS",11435,"American",7,20,20,269,6,3,"QUEENS","14617","JAMAICA AVENUE",4,"A","03/29/2019",3,"DUNKIN DONUTS","14617 JAMAICA AVENUE QUEENS",-73.8083051,40.7019317
40818115,"STARBUCKS",10033,"Caf̩/Coffee/Tea",0,4,4,15,4,3,"MANHATTAN","803","WEST  181 STREET",4,"A","11/16/2018",3,"STARBUCKS","803 WEST  181 STREET MANHATTAN",-73.938409,40.851108
40818118,"STARBUCKS",11209,"Caf̩/Coffee/Tea",0,5,5,38,3,3,"BROOKLYN","9202","3 AVENUE",11,"A","12/18/2018",3,"STARBUCKS","9202 3 AVENUE BROOKLYN",-74.0330351,40.6192561
40818166,"STARBUCKS",11201,"Caf̩/Coffee/Tea",2,11,11,131,5,3,"BROOKLYN","167","COURT STREET",11,"A","12/10/2018",3,"STARBUCKS","167 COURT STREET BROOKLYN",-73.9927168,40.6885386
40819976,"DUNKIN' DONUTS",11361,"Donuts",1,8,8,69,5,3,"QUEENS","21920","NORTHERN BOULEVARD",5,"A","02/05/2019",3,"DUNKIN DONUTS","21920 NORTHERN BOULEVARD QUEENS",-73.7621732,40.7611334
40821115,"STARBUCKS",10006,"Caf̩/Coffee/Tea",0,6,6,57,3,3,"MANHATTAN","115","BROADWAY",7,"A","04/27/2018",3,"STARBUCKS","115 BROADWAY MANHATTAN",-74.011281,40.7088268
