id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address,borough,price_num
64yrGc7EDNd09ZmhUrizCw,birch-coffee-new-york-8,Birch Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/af1r5pomDeMi5hA6GxnFIA/o.jpg,FALSE,https://www.yelp.com/biz/birch-coffee-new-york-8?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,238,4,40.7638444066087,-73.9665842526398,character(0),$$,1081.70680792932,134 1/2 E 62nd St,New York,NY,10065,"coffee, Coffee & Tea,","134 1/2 E 62nd St, New York, NY 10065,",Manhattan,2
dXK2R-3ECPqXVgjvGlV8Cw,zibetto-espresso-bar-new-york,Zibetto Espresso Bar,https://s3-media3.fl.yelpcdn.com/bphoto/2qqlzP14OqPrVCp_mYPoeg/o.jpg,FALSE,https://www.yelp.com/biz/zibetto-espresso-bar-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,424,4.5,40.7639232809413,-73.9776043465576,"c(""delivery"", ""pickup"")",$,419.200013205138,1385 6th Ave,New York,NY,10019,"coffee, bakeries, Coffee & Tea, Bakeries,","253 W 51st St, New York, NY 10019,",Manhattan,1
mj49a6fFkydUPuaDyuIy8Q,for-five-coffee-roasters-new-york-2,For Five Coffee Roasters,https://s3-media3.fl.yelpcdn.com/bphoto/VF9O4XYLnfBD3InMCzUPFA/o.jpg,FALSE,https://www.yelp.com/biz/for-five-coffee-roasters-new-york-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,203,4.5,40.7578419,-73.983183891235,character(0),$$,474.589460437135,117 W 46th St,New York,NY,10036,"coffee, bakeries, Coffee & Tea, Bakeries,","253 W 51st St, New York, NY 10019,",Manhattan,2
t6TzNUUY2ez6s-GYOLs4VA,bluestone-lane-new-york-19,Bluestone Lane,https://s3-media1.fl.yelpcdn.com/bphoto/N-MEWh57k21Fjy9Apc6nNQ/o.jpg,FALSE,https://www.yelp.com/biz/bluestone-lane-new-york-19?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,92,4,40.7520681,-73.9988477,character(0),$$,1938.52828077544,435 W 31st St,New York,NY,10001,"coffee, bakeries, Coffee & Tea, Bakeries,","253 W 51st St, New York, NY 10019,",Manhattan,2
icqOzQ93InjnlM9MlS8tYw,romeo-and-juliet-colombian-coffee-new-york,Romeo and Juliet Colombian Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/o_T0E0jiKv7Mr-bnjzKk0g/o.jpg,FALSE,https://www.yelp.com/biz/romeo-and-juliet-colombian-coffee-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,230,4,40.760838,-73.997859,"c(""delivery"", ""pickup"")",$$,1631.93206509286,555 W 42nd St,New York,NY,10036,"coffee, bakeries, Coffee & Tea, Bakeries,","253 W 51st St, New York, NY 10019,",Manhattan,2
YGUzlo20oCGAnYnvg1b6Kg,blue-bottle-coffee-new-york-6,Blue Bottle Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/SufKOVlNu0w7QKD85PyhbA/o.jpg,FALSE,https://www.yelp.com/biz/blue-bottle-coffee-new-york-6?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,267,4,40.7530635290641,-73.984223271164,character(0),$$,929.889291828694,54 W 40th St,New York,NY,10018,"coffee, Coffee & Tea,","54 W 40th St, New York, NY 10018,",Manhattan,2
D924bgYbBg-WN8PCCBXhEw,st-kilda-coffee-new-york,St Kilda Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/C5gQ8xGUVkgQoIrwPyjcUg/o.jpg,FALSE,https://www.yelp.com/biz/st-kilda-coffee-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,189,4.5,40.7588882446289,-73.9902648925781,character(0),$,999.074179232121,328 W 44th St,New York,NY,10036,"cafes, coffee, Cafes, Coffee & Tea,","328 W 44th St, New York, NY 10036,",Manhattan,1
S3Fw7s_GA94lJLbLFrqZrw,bouchon-bakery-and-cafe-new-york-2,Bouchon Bakery & Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/rK9X_77soe-1CB1ao_P24A/o.jpg,FALSE,https://www.yelp.com/biz/bouchon-bakery-and-cafe-new-york-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1373,4,40.768538,-73.982923,"c(""delivery"", ""pickup"")",$$,997.624739582134,10 Columbus Cir,New York,NY,10019,"coffee, Coffee & Tea,","54 W 40th St, New York, NY 10018,",Manhattan,2
w8Mv4_Yiw5JGPV5BP0N5og,corvo-coffee-new-york-2,Corvo Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/0Y4mTyUkvz9q5O50tV4xLA/o.jpg,FALSE,https://www.yelp.com/biz/corvo-coffee-new-york-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,107,4,40.75695,-73.9935,character(0),$,1305.69295224647,542 9th Ave,New York,NY,10018,"coffee, Coffee & Tea,","54 W 40th St, New York, NY 10018,",Manhattan,1
W2J0N6PXDWYSMPmp-1xIww,patent-coffee-new-york,Patent Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/G_1_pOCKt7oyh-qVNxlGIQ/o.jpg,FALSE,https://www.yelp.com/biz/patent-coffee-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,56,4,40.74526,-73.99032,character(0),$,1928.89612246208,49 W 27th St,New York,NY,10001,"coffee, Coffee & Tea,","54 W 40th St, New York, NY 10018,",Manhattan,1
