ZIPCODE,TotalPop,Men,Women,Hisp_tot,White_tot,Black_tot,Nat_tot,Asian_tot,Pov_tot,Unemployment_tot,Men_pct,Hispanic_pct,White_pct,Black_pct,Native_pct,Asian_pct,Poverty_pct,Unemployment_pct
10014,46324,23218,23106,3896,36388,976,128,3670,3718,2515,50.12088766082377,8.410327260167517,78.55107503669804,2.1068992314998707,0.27631465331145844,7.9224592004144725,8.026077195406268,5.429151195924359
10016,71412,34172,37240,7299,46716,3067,12,12434,8743,3805,47.85190164118075,10.220971265333558,65.41757687783566,4.294796392763121,0.016803898504453033,17.411639500364085,12.243040385369405,5.328236150786982
10017,40598,19267,21331,2621,29592,726,32,6730,2867,1285,47.45800285728361,6.455983053352382,72.89029016207695,1.7882654317946698,0.0788216168284152,16.57717128922607,7.061924232720823,3.1651805507660473
10018,25273,13173,12100,5231,12136,1979,19,5395,3727,1483,52.12281881850196,20.697978079373243,48.01962568749258,7.830491037866498,0.07517904483045147,21.346891940015038,14.746963162268035,5.867922288608397
10019,61795,31167,30628,10893,36417,2970,49,9885,7525,3515,50.43611942713812,17.62763977668096,58.93195242333522,4.806214094991504,0.07929444129783964,15.996439841411117,12.177360627882514,5.688162472691966
10020,6389,3431,2958,753,3864,196,19,1459,864,266,53.70167475348255,11.785881984661136,60.47894819220535,3.067772734387228,0.29738613241508843,22.83612458913758,13.523243074033495,4.163405853811239
10021,72771,32177,40594,4535,59005,1264,35,6033,5038,2527,44.2167896552198,6.231878083302415,81.08312377183219,1.7369556554121832,0.048096082230558876,8.290390402770335,6.923087493644446,3.472537137046351
10022,47254,20856,26398,2737,38195,1000,54,4704,2325,2054,44.13594616328776,5.792102255893681,80.82913615778558,2.1162229652516187,0.11427604012358743,9.954712828543617,4.920218394210014,4.346721970626826
10023,73211,34264,38947,6279,55356,1843,31,7761,5625,3445,46.801710125527585,8.576580022127821,75.61158842250481,2.5173812678422642,0.0423433637021759,10.600865990083458,7.6832716395077245,4.705577030774064
10024,81434,37091,44343,11389,58341,3703,28,5918,6456,3462,45.54731438956701,13.985558857479678,71.64206596753199,4.547240710268438,0.03438367266743621,7.267234815924552,7.927892526463149,4.251295527666576
10025,106152,45514,60638,23086,58799,10820,122,10170,17453,8660,42.87625292034065,21.748059386540056,55.391325646243125,10.192930891551736,0.11492953500640592,9.580601401763507,16.44151782349838,8.158112894717009
10026,56175,26105,30070,13766,12288,25465,39,3190,15523,5034,46.470850022251895,24.505562972852694,21.87449933244326,45.33155318202047,0.06942590120160214,5.678682688028482,27.633288829550512,8.961281708945261
10027,86205,39348,46857,20751,20563,34918,129,7613,24965,6582,45.64468418305203,24.071689577170698,23.853604779305147,40.505771126964795,0.14964329215242736,8.831274288034336,28.960037120816658,7.635287976335479
10028,83249,35975,47274,5394,69382,1063,106,5493,4301,3216,43.21373229708465,6.479357109394708,83.34274285577004,1.2768922149215005,0.12732885680308473,6.598277456786268,5.166428425566673,3.8631094667803816
10029,91158,42272,48886,43967,14914,22103,0,8027,26232,10601,46.372232826520985,48.23164176484785,16.360604664428795,24.246911955067027,0,8.805590293775643,28.776410188902783,11.62925908861537
10030,46266,21898,24368,10923,5055,27507,147,1137,12961,6303,47.330653179440624,23.60912981455064,10.92594994164181,59.45402671508235,0.3177279211516016,2.457528206458306,28.01409242208101,13.623395149786019
10031,77700,37465,40235,41043,10342,21590,53,2429,22021,8361,48.217503217503214,52.82239382239382,13.310167310167309,27.786357786357783,0.06821106821106822,3.126126126126126,28.341055341055345,10.76061776061776
10032,97708,49139,48569,68428,10100,14099,60,3005,28449,13302,50.29168543005691,70.03316002783805,10.336922258156958,14.42972939779752,0.06140745895934826,3.0754902362140255,29.116346665574977,13.61403365128751
10033,79100,39370,39730,54328,17053,3620,59,2673,18487,10133,49.7724399494311,68.6826801517067,21.558786346396968,4.576485461441214,0.07458912768647283,3.379266750948167,23.371681415929206,12.810366624525917
