full_address,name,zip_code,borough,ave_rating,ave_review_count,num,NAME
"133 Bloomfield Ave, Bloomfield, NJ 07003,",Dunkin' Donuts / Baskin Robbins,10018,Brooklyn,2.5,7,1,DD
"13415 Cross Bay Blvd, Ozone Park, NY 11417,",Dunkin',11417,Brooklyn,2.5,4,1,DD
"135-04 Jamaica Ave, Richmond Hill, NY 11428,",Dunkin',11428,Brooklyn,2.5,6,1,DD
"1351 Forest Ave, Staten Island, NY 10302,",Dunkin',10302,Brooklyn,1.5,17,1,DD
"13541 Roosevelt Ave, Flushing, NY 11354,",Dunkin',11354,Brooklyn,1,3,1,DD
"13801 Queens Blvd, Jamaica, NY 11435,",Dunkin',11435,Brooklyn,2,27,1,DD
"13850 Jamaica Ave, Jamaica, NY 11435,",Dunkin',11435,Brooklyn,2.5,16,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10007,Brooklyn,2.5,20,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10035,Brooklyn,2.5,4,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10305,Brooklyn,3,11,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10308,Brooklyn,2,5,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10452,Brooklyn,2.5,3,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10462,Brooklyn,2,4,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10464,Brooklyn,1.5,11,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10466,Brooklyn,2,6,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10707,Brooklyn,1.5,24,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10708,Brooklyn,1.5,13,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',11368,Brooklyn,2.5,15,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',11428,Brooklyn,1.5,9,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',11430,Brooklyn,1.5,7,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',11550,Brooklyn,5,4,1,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin' Donuts,10458,Brooklyn,2,8,1,DD
"1391 Madison Ave, New York, NY 10029,",Dunkin',10029,Brooklyn,2.5,27,1,DD
"1392 Lexington Avenue, New York, NY 10128,",Dunkin',10128,Brooklyn,2.5,30,1,DD
"1399 Hicksville Rd, Massapequa, NY 11758,",Dunkin',11758,Queens,2.5,15,1,DD
"1410 Avenue J, Brooklyn, NY 11230,",Dunkin',11230,Brooklyn,2.5,29,1,DD
"1423 150th St, Whitestone, NY 11357,",Dunkin',11357,Brooklyn,1.5,5,1,DD
"1467 Nostrand Ave, Brooklyn, NY 11226,",Dunkin',11226,Brooklyn,1.5,9,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10001,Brooklyn,2.5,28,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10016,Brooklyn,2.5,42,1,DD
